original_title,vote_average,release_year,original_language
Wild Hogs,5.6,2007.0,en
Chicken Little,5.6,2005.0,en
Gone Girl,7.9,2014.0,en
The Bourne Identity,7.3,2002.0,en
GoldenEye,6.6,1995.0,en
The General's Daughter,6.1,1999.0,en
The Truman Show,7.8,1998.0,en
The Prince of Egypt,6.8,1998.0,en
Daddy Day Care,5.6,2003.0,en
2 Guns,6.6,2013.0,en
Cats & Dogs,5.0,2001.0,en
The Italian Job,6.6,2003.0,en
Two Weeks Notice,5.9,2002.0,en
Antz,6.0,1998.0,en
Couples Retreat,5.3,2009.0,en
Days of Thunder,5.9,1990.0,en
Cheaper by the Dozen 2,5.7,2005.0,en
Maze Runner: The Scorch Trials,6.4,2015.0,en
Eat Pray Love,5.8,2010.0,en
The Family Man,6.5,2000.0,en
RED,6.6,2010.0,en
Any Given Sunday,6.8,1999.0,en
The Horse Whisperer,6.7,1998.0,en
Collateral,7.0,2004.0,en
The Scorpion King,5.3,2002.0,en
Ladder 49,6.2,2004.0,en
Jack Reacher,6.3,2012.0,en
Deep Blue Sea,5.6,1999.0,en
Michael Jackson's This Is It,6.7,2009.0,en
Contagion,6.2,2011.0,en
Kangaroo Jack,4.3,2003.0,en
Coraline,7.3,2009.0,en
The Happening,4.9,2008.0,en
Man on Fire,7.3,2004.0,en
The Shaggy Dog,4.5,2006.0,en
Starsky & Hutch,5.6,2004.0,en
Jingle All the Way,5.5,1996.0,en
Hellboy,6.5,2004.0,en
A Civil Action,6.1,1998.0,en
ParaNorman,6.7,2012.0,en
The Jackal,6.1,1997.0,en
Paycheck,5.9,2003.0,en
Up Close & Personal,5.9,1996.0,en
The Tale of Despereaux,5.8,2008.0,en
The Tuxedo,5.3,2002.0,en
Under Siege 2: Dark Territory,5.6,1995.0,en
Jack Ryan: Shadow Recruit,5.9,2014.0,en
Joy,6.4,2015.0,en
London Has Fallen,5.8,2016.0,en
Alien: Resurrection,5.9,1997.0,en
Shooter,6.9,2007.0,en
The Boxtrolls,6.6,2014.0,en
Practical Magic,6.3,1998.0,en
The Lego Movie,7.5,2014.0,en
Miss Congeniality 2: Armed and Fabulous,5.3,2005.0,en
Reign of Fire,6.0,2002.0,en
Gangster Squad,6.2,2013.0,en
Year One,4.6,2009.0,en
Invictus,7.0,2009.0,en
State of Play,6.7,2009.0,en
Duplicity,5.7,2009.0,en
My Favorite Martian,5.1,1999.0,en
The Sentinel,5.8,2006.0,en
Planet 51,5.6,2009.0,en
Star Trek: Nemesis,6.1,2002.0,en
Intolerable Cruelty,5.8,2003.0,en
Trouble with the Curve,6.6,2012.0,en
Edge of Darkness,6.2,2010.0,en
The Relic,5.8,1997.0,en
Analyze That,5.7,2002.0,en
Righteous Kill,5.9,2008.0,en
Mercury Rising,6.0,1998.0,en
The Soloist,6.6,2009.0,en
The Legend of Bagger Vance,6.3,2000.0,en
Almost Famous,7.4,2000.0,en
Garfield: A Tail of Two Kitties,5.1,2006.0,en
xXx: State of the Union,4.7,2005.0,en
Priest,5.4,2011.0,en
Sinbad: Legend of the Seven Seas,6.6,2003.0,en
Event Horizon,6.5,1997.0,en
Dragonfly,6.1,2002.0,en
The Black Dahlia,5.7,2006.0,en
Flyboys,6.3,2006.0,en
The Last Castle,7.0,2001.0,en
Supernova,4.9,2000.0,en
Winter's Tale,6.0,2014.0,en
The Mortal Instruments: City of Bones,6.2,2013.0,en
Meet Dave,5.0,2008.0,en
Dark Water,5.3,2005.0,en
Edtv,5.7,1999.0,en
Inkheart,6.0,2008.0,en
The Spirit,4.7,2008.0,en
Mortdecai,5.4,2015.0,en
In the Name of the King: A Dungeon Siege Tale,4.1,2007.0,en
Beyond Borders,6.7,2003.0,en
西游记之孙悟空三打白骨精,6.0,2016.0,zh
The Great Raid,6.8,2005.0,en
Deadpool,7.4,2016.0,en
Holy Man,4.9,1998.0,en
American Sniper,7.4,2014.0,en
Goosebumps,6.2,2015.0,en
Just Like Heaven,6.5,2005.0,en
The Flintstones in Viva Rock Vegas,4.4,2000.0,en
Rambo III,5.7,1988.0,en
Leatherheads,5.7,2008.0,en
The Ridiculous 6,4.9,2015.0,en
Did You Hear About the Morgans?,5.1,2009.0,en
The Internship,6.1,2013.0,en
Resident Evil: Afterlife,5.8,2010.0,en
Red Tails,5.9,2012.0,en
The Devil's Advocate,7.2,1997.0,en
That's My Boy,5.5,2012.0,en
DragonHeart,6.4,1996.0,en
After the Sunset,6.0,2004.0,en
Ghost Rider: Spirit of Vengeance,4.7,2011.0,en
Captain Corelli's Mandolin,5.5,2001.0,en
The Pacifier,5.8,2005.0,en
Walking Tall,6.0,2004.0,en
Forrest Gump,8.2,1994.0,en
Alvin and the Chipmunks,5.5,2007.0,en
Meet the Parents,6.6,2000.0,en
Pocahontas,6.7,1995.0,en
Superman,6.9,1978.0,en
The Nutty Professor,5.4,1996.0,en
Hitch,6.4,2005.0,en
George of the Jungle,5.4,1997.0,en
American Wedding,6.0,2003.0,en
Captain Phillips,7.6,2013.0,en
Date Night,5.9,2010.0,en
Casper,6.0,1995.0,en
The Equalizer,7.1,2014.0,en
Maid in Manhattan,5.6,2002.0,en
Crimson Tide,7.0,1995.0,en
The Pursuit of Happyness,7.7,2006.0,en
Flightplan,6.1,2005.0,en
Disclosure,5.9,1994.0,en
City of Angels,6.4,1998.0,en
Kill Bill: Vol. 1,7.7,2003.0,en
Bowfinger,6.0,1999.0,en
Kill Bill: Vol. 2,7.6,2004.0,en
Tango & Cash,6.1,1989.0,en
Death Becomes Her,6.3,1992.0,en
Shanghai Noon,6.2,2000.0,en
Executive Decision,5.8,1996.0,en
Mr. Popper's Penguins,5.7,2011.0,en
The Forbidden Kingdom,6.3,2008.0,en
Free Birds,5.7,2013.0,en
Alien³,6.2,1992.0,en
Evita,5.9,1996.0,en
Ronin,6.7,1998.0,en
The Ghost and the Darkness,6.4,1996.0,en
Paddington,7.0,2014.0,en
The Watch,5.3,2012.0,en
The Hunted,6.0,2003.0,en
Instinct,6.2,1999.0,en
Stuck on You,5.1,2003.0,en
Semi-Pro,5.4,2008.0,en
The Pirates! In an Adventure with Scientists!,6.4,2012.0,en
Changeling,7.3,2008.0,en
Chain Reaction,5.3,1996.0,en
The Fan,5.7,1996.0,en
The Phantom of the Opera,7.0,2004.0,en
Elizabeth: The Golden Age,6.6,2007.0,en
Æon Flux,5.4,2005.0,en
Gods and Generals,6.1,2003.0,en
Turbulence,5.2,1997.0,en
Imagine That,5.7,2009.0,en
Muppets Most Wanted,6.2,2014.0,en
Thunderbirds,4.2,2004.0,en
Burlesque,6.9,2010.0,en
Un long dimanche de fiançailles,7.1,2004.0,fr
Lolita,7.3,1962.0,en
D-Tox,5.3,2002.0,en
Blade II,6.2,2002.0,en
Seven Pounds,7.5,2008.0,en
Bullet to the Head,5.2,2013.0,en
The Godfather: Part III,7.1,1990.0,en
Elizabethtown,6.1,2005.0,en
"You, Me and Dupree",5.4,2006.0,en
Superman II,6.5,1980.0,en
Gigli,3.5,2003.0,en
All the King's Men,5.7,2006.0,en
Shaft,5.5,2000.0,en
Anastasia,7.4,1997.0,en
Moulin Rouge!,7.4,2001.0,en
Domestic Disturbance,5.4,2001.0,en
Black Mass,6.3,2015.0,en
Flags of Our Fathers,6.7,2006.0,en
Law Abiding Citizen,7.2,2009.0,en
Grindhouse,6.8,2007.0,en
Beloved,5.9,1998.0,en
Lucky You,5.4,2007.0,en
Catch Me If You Can,7.7,2002.0,en
Zero Dark Thirty,6.7,2012.0,en
The Break-Up,5.6,2006.0,en
Mamma Mia!,6.4,2008.0,en
Valentine's Day,5.7,2010.0,en
The Dukes of Hazzard,5.1,2005.0,en
The Thin Red Line,7.2,1998.0,en
The Change-Up,5.9,2011.0,en
Man on the Moon,6.9,1999.0,en
Casino,7.8,1995.0,en
From Paris with Love,6.1,2010.0,en
Bulletproof Monk,5.1,2003.0,en
"Me, Myself & Irene",6.1,2000.0,en
Barnyard,5.3,2006.0,en
Deck the Halls,5.1,2006.0,en
The Twilight Saga: New Moon,5.6,2009.0,en
Shrek,7.3,2001.0,en
The Adjustment Bureau,6.5,2011.0,en
Robin Hood: Prince of Thieves,6.6,1991.0,en
Jerry Maguire,6.7,1996.0,en
Ted,6.3,2012.0,en
As Good as It Gets,7.2,1997.0,en
Patch Adams,7.0,1998.0,en
Anchorman 2: The Legend Continues,6.0,2013.0,en
Mr. Deeds,5.6,2002.0,en
Super 8,6.6,2011.0,en
Erin Brockovich,7.1,2000.0,en
How to Lose a Guy in 10 Days,6.3,2003.0,en
22 Jump Street,7.0,2014.0,en
Interview with the Vampire,7.2,1994.0,en
Yes Man,6.4,2008.0,en
Central Intelligence,6.2,2016.0,en
Stepmom,6.9,1998.0,en
Daddy's Home,5.8,2015.0,en
Into the Woods,5.6,2014.0,en
Inside Man,7.3,2006.0,en
Payback,6.7,1999.0,en
Congo,5.0,1995.0,en
We Bought a Zoo,6.5,2011.0,en
Knowing,5.9,2009.0,en
Failure to Launch,5.5,2006.0,en
The Ring Two,5.4,2005.0,en
"Crazy, Stupid, Love.",7.0,2011.0,en
Garfield,5.2,2004.0,en
Christmas with the Kranks,5.2,2004.0,en
Moneyball,7.0,2011.0,en
Outbreak,6.3,1995.0,en
Non-Stop,6.8,2014.0,en
Race to Witch Mountain,5.5,2009.0,en
V for Vendetta,7.7,2006.0,en
Shanghai Knights,6.0,2003.0,en
Curious George,6.2,2006.0,en
Herbie Fully Loaded,5.1,2005.0,en
Don't Say a Word,6.0,2001.0,en
Hansel & Gretel: Witch Hunters,5.7,2013.0,en
Unfaithful,6.3,2002.0,en
I Am Number Four,5.9,2011.0,en
Syriana,6.3,2005.0,en
13 Hours: The Secret Soldiers of Benghazi,7.0,2016.0,en
The Book of Life,7.3,2014.0,en
Firewall,5.6,2006.0,en
Absolute Power,6.4,1997.0,en
G.I. Jane,6.0,1997.0,en
The Game,7.5,1997.0,en
Silent Hill,6.3,2006.0,en
The Replacements,6.1,2000.0,en
American Reunion,6.1,2012.0,en
The Negotiator,6.8,1998.0,en
Into the Storm,5.8,2014.0,en
Beverly Hills Cop III,5.5,1994.0,en
Gremlins 2: The New Batch,6.2,1990.0,en
The Judge,7.2,2014.0,en
The Peacemaker,5.8,1997.0,en
Resident Evil: Apocalypse,6.1,2004.0,en
Bridget Jones: The Edge of Reason,6.1,2004.0,en
Out of Time,6.1,2003.0,en
On Deadly Ground,4.5,1994.0,en
The Adventures of Sharkboy and Lavagirl,4.4,2005.0,en
The Beach,6.3,2000.0,en
Raising Helen,5.9,2004.0,en
Ninja Assassin,6.2,2009.0,en
For Love of the Game,6.3,1999.0,en
Striptease,4.4,1996.0,en
Marmaduke,5.0,2010.0,en
Hereafter,5.8,2010.0,en
Murder by Numbers,6.0,2002.0,en
Assassins,6.0,1995.0,en
Hannibal Rising,6.0,2007.0,en
The Story of Us,5.9,1999.0,en
The Host,6.0,2013.0,en
Basic,6.2,2003.0,en
Blood Work,6.1,2002.0,en
The International,6.0,2009.0,en
Escape from L.A.,5.6,1996.0,en
The Iron Giant,7.6,1999.0,en
The Life Aquatic with Steve Zissou,7.1,2004.0,en
Free State of Jones,6.6,2016.0,en
The Life of David Gale,7.3,2003.0,en
Man of the House,5.4,2005.0,en
Run All Night,6.3,2015.0,en
Eastern Promises,7.2,2007.0,en
Into the Blue,5.8,2005.0,en
Joan of Arc,6.2,1999.0,fr
Your Highness,5.2,2011.0,en
Dream House,5.8,2011.0,en
Mad City,5.9,1997.0,en
Baby's Day Out,5.8,1994.0,en
The Scarlet Letter,5.5,1995.0,en
Fair Game,6.5,2010.0,en
Domino,6.0,2005.0,en
Jade,5.2,1995.0,en
Gamer,5.6,2009.0,en
Beautiful Creatures,5.6,2013.0,en
Death to Smoochy,5.9,2002.0,en
Zoolander 2,4.7,2016.0,en
The Big Bounce,5.0,2004.0,en
What Planet Are You From?,5.4,2000.0,en
Drive Angry,5.3,2011.0,en
Street Fighter: The Legend of Chun-Li,3.9,2009.0,en
The One,5.7,2001.0,en
The Adventures of Ford Fairlane,6.2,1990.0,en
The Boat That Rocked,7.2,2009.0,en
Traffic,6.9,2000.0,en
Indiana Jones and the Last Crusade,7.6,1989.0,en
Anna Karenina,6.5,2012.0,en
Chappie,6.6,2015.0,en
The Bone Collector,6.5,1999.0,en
Panic Room,6.5,2002.0,en
The Tooth Fairy,4.3,2006.0,de
Three Kings,6.6,1999.0,en
Child 44,6.1,2015.0,en
Rat Race,6.0,2001.0,en
K-PAX,7.1,2001.0,en
Kate & Leopold,6.0,2001.0,en
Bedazzled,5.6,2000.0,en
The Cotton Club,6.6,1984.0,en
3:10 to Yuma,6.9,2007.0,en
Taken 3,6.1,2014.0,en
Out of Sight,6.5,1998.0,en
The Cable Guy,5.7,1996.0,en
1947: Earth,6.6,1998.0,hi
Dick Tracy,5.9,1990.0,en
The Thomas Crown Affair,6.6,1999.0,en
Riding in Cars with Boys,6.5,2001.0,en
First Blood,7.2,1982.0,en
Солярис,7.7,1972.0,ru
Happily N'Ever After,4.6,2006.0,en
Mary Reilly,5.7,1996.0,en
My Best Friend's Wedding,6.3,1997.0,en
America's Sweethearts,5.5,2001.0,en
Insomnia,6.8,2002.0,en
Star Trek: First Contact,7.0,1996.0,en
Jonah Hex,4.4,2010.0,en
Courage Under Fire,6.2,1996.0,en
Liar Liar,6.4,1997.0,en
The Infiltrator,6.6,2016.0,en
Inchon,6.5,1981.0,en
The Flintstones,5.0,1994.0,en
Taken 2,6.1,2012.0,en
Scary Movie 3,5.8,2003.0,en
Miss Congeniality,6.1,2000.0,en
Journey to the Center of the Earth,5.8,2008.0,en
The Princess Diaries 2: Royal Engagement,6.0,2004.0,en
The Pelican Brief,6.3,1993.0,en
The Client,6.4,1994.0,en
The Bucket List,7.0,2007.0,en
Patriot Games,6.3,1992.0,en
Monster-in-Law,5.6,2005.0,en
Prisoners,7.9,2013.0,en
Training Day,7.3,2001.0,en
Galaxy Quest,6.9,1999.0,en
Scary Movie 2,5.4,2001.0,en
The Muppets,6.5,2011.0,en
Blade,6.5,1998.0,en
Coach Carter,7.3,2005.0,en
Changing Lanes,5.9,2002.0,en
Anaconda,4.7,1997.0,en
Coyote Ugly,5.8,2000.0,en
Love Actually,7.0,2003.0,en
A Bug's Life,6.8,1998.0,en
From Hell,6.6,2001.0,en
The Specialist,5.5,1994.0,en
Tin Cup,5.9,1996.0,en
"Yours, Mine and Ours",6.2,1968.0,en
Kicking & Screaming,5.6,2005.0,en
The Hitchhiker's Guide to the Galaxy,6.6,2005.0,en
Fat Albert,4.3,2004.0,en
Resident Evil: Extinction,6.1,2007.0,en
Blended,6.6,2014.0,en
Last Holiday,6.4,2006.0,en
The River Wild,6.1,1994.0,en
The Indian in the Cupboard,5.9,1995.0,en
Savages,6.2,2012.0,en
Cellular,6.1,2004.0,en
Johnny English,6.0,2003.0,en
The Ant Bully,5.5,2006.0,en
Dune,6.5,1984.0,en
Across the Universe,7.1,2007.0,en
Revolutionary Road,6.7,2008.0,en
16 Blocks,6.2,2006.0,en
Babylon A.D.,5.4,2008.0,en
The Glimmer Man,4.7,1996.0,en
Multiplicity,5.5,1996.0,en
Aliens in the Attic,5.3,2009.0,en
The Pledge,6.5,2001.0,en
The Producers,6.1,2005.0,en
The Phantom,4.7,1996.0,en
All the Pretty Horses,5.8,2000.0,en
Nixon,7.1,1995.0,en
The Ghost Writer,6.7,2010.0,en
Deep Rising,6.0,1998.0,en
Miracle at St. Anna,6.3,2008.0,en
滿城盡帶黃金甲,6.6,2006.0,zh
Bangkok Dangerous,5.0,2008.0,en
Big Trouble,6.3,2002.0,en
Love in the Time of Cholera,6.4,2007.0,en
Shadow Conspiracy,4.0,1997.0,en
Johnny English Reborn,6.0,2011.0,en
Foodfight!,2.3,2012.0,en
Argo,7.1,2012.0,en
The Fugitive,7.2,1993.0,en
The Bounty Hunter,5.5,2010.0,en
Sleepers,7.3,1996.0,en
Rambo: First Blood Part II,6.3,1985.0,en
The Juror,5.5,1996.0,en
Pinocchio,6.9,1940.0,en
Heaven's Gate,6.4,1980.0,en
Underworld: Evolution,6.4,2006.0,en
Victor Frankenstein,5.6,2015.0,en
Finding Forrester,7.0,2000.0,en
28 Days,6.0,2000.0,en
Unleashed,6.6,2005.0,en
The Sweetest Thing,5.3,2002.0,en
The Firm,6.6,1993.0,en
Charlie St. Cloud,6.8,2010.0,en
The Mechanic,6.3,2011.0,en
21 Jump Street,6.7,2012.0,en
Notting Hill,7.0,1999.0,en
Chicken Run,6.5,2000.0,en
Along Came Polly,5.8,2004.0,en
Boomerang,5.4,1992.0,en
The Heat,6.5,2013.0,en
Cleopatra,6.7,1963.0,en
Here Comes the Boom,6.0,2012.0,en
High Crimes,6.1,2002.0,en
The Mirror Has Two Faces,6.5,1996.0,en
The Mothman Prophecies,6.1,2002.0,en
Brüno,5.4,2009.0,en
Licence to Kill,5.9,1989.0,en
Red Riding Hood,5.6,2011.0,en
15 Minutes,5.7,2001.0,en
Super Mario Bros.,4.0,1993.0,en
Lord of War,7.0,2005.0,en
英雄,7.2,2002.0,zh
One for the Money,5.3,2012.0,en
The Interview,6.1,2014.0,en
The Warrior's Way,6.3,2010.0,en
Micmacs à tire-larigot,6.8,2009.0,fr
8 Mile,6.8,2002.0,en
Pourquoi j'ai pas mangé mon père,5.3,2015.0,fr
A Knight's Tale,6.6,2001.0,en
The Medallion,5.3,2003.0,en
The Sixth Sense,7.7,1999.0,en
Man on a Ledge,6.2,2012.0,en
The Big Year,5.6,2011.0,en
The Karate Kid,6.9,1984.0,en
American Hustle,6.8,2013.0,en
The Proposal,6.7,2009.0,en
Double Jeopardy,6.2,1999.0,en
Back to the Future Part II,7.4,1989.0,en
Lucy,6.3,2014.0,en
Fifty Shades of Grey,5.2,2015.0,en
Spy Kids 3-D: Game Over,4.7,2003.0,en
A Time to Kill,7.0,1996.0,en
Cheaper by the Dozen,6.0,2003.0,en
Lone Survivor,7.4,2013.0,en
A League of Their Own,6.7,1992.0,en
The Conjuring 2,7.0,2016.0,en
The Social Network,7.1,2010.0,en
He's Just Not That Into You,6.2,2009.0,en
Scary Movie 4,5.3,2006.0,en
Scream 3,5.7,2000.0,en
Back to the Future Part III,7.1,1990.0,en
Get Hard,5.9,2015.0,en
Dracula,7.1,1992.0,en
Julie & Julia,6.6,2009.0,en
42,6.8,2013.0,en
The Talented Mr. Ripley,7.0,1999.0,en
Dumb and Dumber To,5.4,2014.0,en
Eight Below,6.7,2006.0,en
The Intern,7.1,2015.0,en
Ride Along 2,6.1,2016.0,en
The Last of the Mohicans,7.1,1992.0,en
Ray,7.2,2004.0,en
Sin City,7.2,2005.0,en
Vantage Point,6.2,2008.0,en
"I Love You, Man",6.5,2009.0,en
Shallow Hal,5.7,2001.0,en
JFK,7.5,1991.0,en
Big Momma's House 2,5.4,2006.0,en
The Mexican,5.8,2001.0,en
17 Again,6.1,2009.0,en
The Other Woman,6.2,2014.0,en
The Final Destination,5.4,2009.0,en
Bridge of Spies,7.2,2015.0,en
Behind Enemy Lines,6.0,2001.0,en
Get Him to the Greek,5.9,2010.0,en
Shall We Dance?,5.9,2004.0,en
Small Soldiers,6.2,1998.0,en
Spawn,5.0,1997.0,en
The Count of Monte Cristo,7.3,2002.0,en
The Lincoln Lawyer,7.0,2011.0,en
Unknown,6.5,2011.0,en
The Prestige,8.0,2006.0,en
Horrible Bosses 2,6.1,2014.0,en
Escape from Planet Earth,5.7,2013.0,en
Apocalypto,7.3,2006.0,en
The Living Daylights,6.2,1987.0,en
Predators,6.0,2010.0,en
Legal Eagles,5.8,1986.0,en
Secret Window,6.4,2004.0,en
The Lake House,6.5,2006.0,en
The Skeleton Key,6.4,2005.0,en
The Odd Life of Timothy Green,6.5,2012.0,en
Made of Honor,6.0,2008.0,en
Jersey Boys,6.8,2014.0,en
The Rainmaker,6.7,1997.0,en
Gothika,5.8,2003.0,en
Amistad,6.8,1997.0,en
Medicine Man,5.8,1992.0,en
Aliens vs Predator: Requiem,4.9,2007.0,en
Ri¢hie Ri¢h,5.4,1994.0,en
Autumn in New York,5.7,2000.0,en
Music and Lyrics,6.2,2007.0,en
Paul,6.5,2011.0,en
The Guilt Trip,5.4,2012.0,en
Scream 4,6.1,2011.0,en
8MM,6.1,1999.0,en
The Doors,6.7,1991.0,en
Sex Tape,5.3,2014.0,en
Hanging Up,5.0,2000.0,en
Final Destination 5,5.9,2011.0,en
Mickey Blue Eyes,5.3,1999.0,en
Pay It Forward,7.0,2000.0,en
Fever Pitch,5.9,2005.0,en
Drillbit Taylor,5.5,2008.0,en
A Million Ways to Die in the West,5.8,2014.0,en
The Shadow,5.4,1994.0,en
Extremely Loud & Incredibly Close,6.9,2011.0,en
Morning Glory,6.1,2010.0,en
Get Rich or Die Tryin',6.3,2005.0,en
The Art of War,5.6,2000.0,en
Rent,6.7,2005.0,en
Bless the Child,4.9,2000.0,en
The Out-of-Towners,5.0,1999.0,en
The Island of Dr. Moreau,4.6,1996.0,en
The Musketeer,5.2,2001.0,en
The Other Boleyn Girl,6.4,2008.0,en
Sweet November,6.4,2001.0,en
The Reaping,5.4,2007.0,en
Mean Streets,7.2,1973.0,en
Renaissance Man,5.9,1994.0,en
Colombiana,6.5,2011.0,en
Quest for Camelot,6.9,1998.0,en
City By The Sea,5.7,2002.0,en
At First Sight,5.9,1999.0,en
Torque,4.7,2004.0,en
City Hall,6.0,1996.0,en
Showgirls,4.9,1995.0,en
Marie Antoinette,6.5,2006.0,en
Kiss of Death,5.7,1995.0,en
Get Carter,4.8,2000.0,en
Lo imposible,7.0,2012.0,en
Ishtar,4.2,1987.0,en
Fantastic Mr. Fox,7.5,2009.0,en
Life or Something Like It,5.7,2002.0,en
Memoirs of an Invisible Man,5.7,1992.0,en
Le fabuleux destin d'Amélie Poulain,7.8,2001.0,fr
New York Minute,5.5,2004.0,en
Alfie,5.6,2004.0,en
Big Miracle,6.6,2012.0,en
The Deep End of the Ocean,5.9,1999.0,en
FearDotCom,3.2,2002.0,en
Cirque du Freak: The Vampire's Assistant,5.5,2009.0,en
Duplex,5.9,2003.0,en
Soul Men,6.3,2008.0,en
Raise the Titanic,5.2,1980.0,en
Universal Soldier: The Return,4.2,1999.0,en
Pandorum,6.5,2009.0,en
Impostor,6.1,2001.0,en
Extreme Ops,5.0,2002.0,en
Just Visiting,4.8,2001.0,en
Sunshine,7.0,2007.0,en
A Thousand Words,6.0,2012.0,en
Delgo,5.4,2008.0,en
The Gunman,5.5,2015.0,en
Stormbreaker,5.1,2006.0,en
Disturbia,6.6,2007.0,en
Hackers,6.2,1995.0,en
The Hunting Party,6.6,2007.0,en
The Hudsucker Proxy,7.1,1994.0,en
投名狀,6.3,2007.0,zh
Nomad,4.3,2005.0,en
Snowpiercer,6.7,2013.0,ko
Un monstre à Paris,6.5,2011.0,fr
The Last Shot,5.9,2004.0,en
The Crow,7.3,1994.0,en
Baahubali: The Beginning,7.5,2015.0,te
The Time Traveler's Wife,6.7,2009.0,en
Because I Said So,5.8,2007.0,en
Frankenweenie,6.6,2012.0,en
Serenity,7.4,2005.0,en
Against the Ropes,4.5,2004.0,en
Superman III,5.3,1983.0,en
Grudge Match,6.0,2013.0,en
Chi bi,7.1,2008.0,zh
Sweet Home Alabama,6.0,2002.0,en
The Ugly Truth,6.4,2009.0,en
Sgt. Bilko,5.5,1996.0,en
Spy Kids 2: The Island of Lost Dreams,5.3,2002.0,en
Star Trek: Generations,6.4,1994.0,en
一代宗師,6.3,2013.0,zh
Water for Elephants,6.7,2011.0,en
Dragon Nest: Warriors' Dawn,6.8,2014.0,zh
The Hurricane,7.2,1999.0,en
Enough,6.2,2002.0,en
Heartbreakers,5.7,2001.0,en
Paul Blart: Mall Cop 2,5.0,2015.0,en
Angel Eyes,5.6,2001.0,en
Joe Somebody,5.5,2001.0,en
The Ninth Gate,6.3,1999.0,en
Extreme Measures,5.7,1996.0,en
Rock Star,6.0,2001.0,en
Precious,6.9,2009.0,en
White Squall,6.3,1996.0,en
The Thing,7.8,1982.0,en
Riddick,6.2,2013.0,en
Switchback,5.8,1997.0,en
Texas Rangers,5.4,2001.0,en
City of Ember,6.2,2008.0,en
The Master,7.0,2012.0,en
Virgin Territory,4.3,2007.0,en
The Express,7.1,2008.0,en
The 5th Wave,5.6,2016.0,en
Creed,7.3,2015.0,en
The Town,7.0,2010.0,en
What to Expect When You're Expecting,5.8,2012.0,en
Burn After Reading,6.5,2008.0,en
Nim's Island,5.6,2008.0,en
Rush,7.7,2013.0,en
Magnolia,7.5,1999.0,en
Cop Out,5.3,2010.0,en
How to Be Single,5.9,2016.0,en
Dolphin Tale,6.7,2011.0,en
Twilight,5.8,2008.0,en
John Q,7.0,2002.0,en
Blue Streak,6.1,1999.0,en
We're the Millers,6.8,2013.0,en
Obitaemyy Ostrov,5.3,2008.0,ru
Breakdown,6.6,1997.0,en
Never Say Never Again,5.8,1983.0,en
Hot Tub Time Machine,6.0,2010.0,en
Dolphin Tale 2,6.7,2014.0,en
Reindeer Games,5.4,2000.0,en
A Man Apart,5.8,2003.0,en
Aloha,5.2,2015.0,en
Ghosts of Mississippi,6.2,1996.0,en
Snow Falling on Cedars,6.3,1999.0,en
The Rite,5.8,2011.0,en
Gattaca,7.5,1997.0,en
Isn't She Great,4.6,2000.0,de
Space Chimps,5.2,2008.0,en
Head of State,5.3,2003.0,en
The Hangover,7.2,2009.0,en
葉問3,6.5,2015.0,cn
Austin Powers: The Spy Who Shagged Me,6.2,1999.0,en
Batman,7.0,1989.0,en
There Be Dragons,5.9,2011.0,en
Lethal Weapon 3,6.4,1992.0,en
The Blind Side,7.2,2009.0,en
Spy Kids,5.5,2001.0,en
Horrible Bosses,6.5,2011.0,en
True Grit,7.2,2010.0,en
The Devil Wears Prada,7.0,2006.0,en
Star Trek: The Motion Picture,6.2,1979.0,en
Identity Thief,5.6,2013.0,en
Cape Fear,7.0,1991.0,en
21,6.5,2008.0,en
Trainwreck,5.9,2015.0,en
Guess Who,5.5,2005.0,en
The English Patient,7.0,1996.0,en
L.A. Confidential,7.7,1997.0,en
Sky High,5.8,2005.0,en
In & Out,6.3,1997.0,en
Species,5.5,1995.0,en
A Nightmare on Elm Street,7.2,1984.0,en
The Cell,6.0,2000.0,en
The Man in the Iron Mask,6.3,1998.0,en
Secretariat,6.8,2010.0,en
TMNT,6.0,2007.0,en
Radio,6.8,2003.0,en
Friends with Benefits,6.5,2011.0,en
Neighbors 2: Sorority Rising,5.6,2016.0,en
Saving Mr. Banks,7.3,2013.0,en
Malcolm X,7.2,1992.0,en
This Is 40,5.6,2012.0,en
Old Dogs,5.2,2009.0,en
Underworld: Rise of the Lycans,6.2,2009.0,en
License to Wed,5.2,2007.0,en
The Benchwarmers,5.2,2006.0,en
Must Love Dogs,5.8,2005.0,en
Donnie Brasco,7.4,1997.0,en
Resident Evil,6.4,2002.0,en
Poltergeist,7.0,1982.0,en
The Ladykillers,6.0,2004.0,en
Max Payne,5.2,2008.0,en
In Time,6.7,2011.0,en
The Back-Up Plan,5.7,2010.0,en
Something Borrowed,5.9,2011.0,en
Black Knight,5.1,2001.0,en
The Bad News Bears,6.9,1976.0,en
Street Fighter,4.1,1994.0,en
The Pianist,8.0,2002.0,en
The Nativity Story,6.4,2006.0,en
House of Wax,5.5,2005.0,en
Closer,6.7,2004.0,en
J. Edgar,6.0,2011.0,en
Mirrors,6.0,2008.0,en
Queen of the Damned,5.4,2002.0,en
Predator 2,5.9,1990.0,en
Untraceable,5.9,2008.0,en
Blast from the Past,6.3,1999.0,en
Flash Gordon,6.1,1980.0,en
Jersey Girl,5.8,2004.0,en
Alex Cross,5.1,2012.0,en
Midnight in the Garden of Good and Evil,6.3,1997.0,en
Heist,5.6,2015.0,en
